src_ip,dst_ip,src_port,dst_port,protocol,packet_count,flow_duration,total_bytes,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,large_packet_ratio,mean_iat,std_iat,max_iat,burst_density,mean_burst_time,std_burst_time,idle_ratio,mean_idle_time,std_idle_time
14.103.216.123,150.96.198.114,27222,443,6,1755,16.974268913269043,86516,49.2968660968661,10.751169889659216,40.0,76.0,0.0,0.009677462322274255,0.023225777993402776,0.11774611473083496,13680.499543705784,0.048646439038790186,0.0,0.627433868593127,0.08255993673043657,0.014979549099609538
52.117.219.161,131.128.237.114,3481,50042,17,439,16.85666513442993,360979,822.2756264236903,392.9531774352999,68.0,1221.0,0.24145785876993167,0.03848553683659802,0.08747505486205388,0.35875606536865234,97517.5196388787,0.07258201112934187,0.0,0.7804023916665405,0.2630996513366699,0.019884393988595834
150.96.198.114,182.62.218.189,443,62047,6,3838,16.985408067703247,15390581,4010.0523710265766,3131.4687173750012,244.0,23272.0,0.9817613340281397,0.0044267417429510675,0.015014588131558518,0.1010289192199707,1510805.2017833735,0.11845354146735612,0.0,0.40024961862339736,0.07998121766483082,0.02162927563002752
219.168.117.78,202.185.5.133,6999,51820,17,907,16.996607780456543,126996,140.01764057331863,16.15797555159492,108.0,156.0,0.0,0.018760052737810753,0.08824975637523332,2.4451191425323486,10442.275966686648,1.2161715507507325,0.0,0.28446217333122314,0.5372102525499132,0.6787106092067909
203.74.124.234,3.125.118.172,50325,443,6,87,1.3124170303344727,7119,81.82758620689656,78.4861371310871,52.0,308.0,0.0,0.015260663143424101,0.07142298788817063,0.6599969863891602,10911.665198519764,0.32621002197265625,0.0,0.5028862535673626,0.6599969863891602,0.0
219.203.107.42,192.83.96.49,30926,53,17,149,16.957152128219604,10817,72.59731543624162,0.6846295533587433,70.0,73.0,0.0,0.11457535221770003,0.16519927181994473,0.8522059917449951,984.5943179219339,0.9987499713897705,0.0,0.3521170327226405,0.5970902442932129,0.11700639311595654
163.172.86.85,170.133.199.236,63186,8801,17,276,16.98152208328247,16196,58.68115942028985,13.023382264690934,55.0,137.0,0.0,0.06175098939375444,0.06209039124619624,0.6397800445556641,1169.4420088074255,1.5388154453701444,0.0,0.18444653401170252,0.3915228843688965,0.11708509616795165
133.244.145.253,162.20.118.17,43708,443,6,19,8.727802038192749,4022,211.68421052631578,315.37063452248304,40.0,1318.0,0.05263157894736842,0.4848778910107083,1.3597269897075668,6.000469923019409,1474.7006801713605,1.36366605758667,0.0,0.687512068817483,6.000469923019409,0.0
150.96.144.69,52.124.136.149,3466,443,6,387,16.95203995704651,29405,75.98191214470285,58.89615249549535,40.0,205.0,0.0,0.04391720196126039,0.034585577741908,0.24466991424560547,1878.9099998756917,1.7388922373453777,0.0,0.07680549051510518,0.1627512276172638,0.04915586653124348
203.245.125.139,157.154.191.244,443,39498,6,17902,17.001172065734863,56626530,3163.1398726399284,1479.3368740244177,52.0,7292.0,0.9995531225561389,0.0009497330912091427,0.0070426248858471005,0.5367221832275391,4777388.176976694,0.2822149991989136,0.0,0.3028109930694343,0.1255644414483047,0.07412027170930505
126.150.111.20,150.96.198.114,24602,443,6,4149,16.993022203445435,213420,51.43890093998554,13.61982308829465,40.0,76.0,0.0,0.004096678448275177,0.02735743016074556,1.6398570537567139,16065.149673188997,0.5775937308435855,0.0,0.21822876068874406,0.16856210882013495,0.32704106602963595
130.187.88.176,51.158.250.190,80,27790,6,11,0.42051005363464355,12836,1166.909090909091,1210.769436391245,52.0,2948.0,0.45454545454545453,0.04205100536346436,0.0704220169224247,0.17786502838134766,30524.76240292228,0.42051005363464355,0.0,0.0,0.0,0.0
210.164.182.72,131.128.84.39,443,57144,6,296,16.76721715927124,92339,311.9560810810811,446.5004934361172,40.0,2614.0,0.08783783783783784,0.05683802426871607,0.28971410093267597,4.81324577331543,9085.79554468367,2.5407513976097107,0.0,0.39387640251944084,2.201403856277466,1.8504612623354355
54.121.196.172,203.74.124.198,443,59175,6,2185,17.000253915786743,488368,223.50938215102974,43.89712363541211,89.0,1420.0,0.0004576659038901602,0.0077839990456899,0.008377764525940553,0.07290911674499512,29167.326899805183,3.348733139038086,0.0,0.015093198417750843,0.06414705514907837,0.007859457805508216
43.208.223.40,150.96.221.192,443,41597,6,27,4.032105922698975,60895,2255.3703703703704,2668.1505197719116,40.0,8800.0,0.5555555555555556,0.15508099702688363,0.3453165896015424,1.0699999332427979,314256.24947708915,0.03875479698181152,0.0,0.9519420023764275,0.9595829844474792,0.07757726449814696
133.244.149.77,116.138.29.42,56006,443,6,294,16.895341873168945,15444,52.53061224489796,3.8284756961182906,52.0,94.0,0.0,0.05766328284358002,0.04878913671472849,0.15965700149536133,1008.2800337055206,1.392470208081332,0.0,0.09340855619926731,0.1578169584274292,0.001139176760300738
162.132.15.96,150.96.198.114,873,48510,6,3952,16.999676942825317,7772752,1966.7894736842106,772.6712643836163,1500.0,5844.0,1.0,0.004302626409219266,0.01362014957060795,0.07786893844604492,1100860.7950092026,0.04937490883407059,0.0,0.5846619573018432,0.06999341534896636,0.002652628169007588
66.145.149.98,131.129.191.175,25291,23,6,15,16.98586392402649,600,40.0,0.0,40.0,40.0,0.0,1.2132759945733207,1.0861427209887984,3.731207847595215,45.267108499312904,6.627328038215637,0.0,0.21966546091611883,3.731207847595215,0.0
157.154.191.240,103.255.140.240,51588,443,17,8050,17.00126600265503,1670943,207.57055900621117,313.2759699440862,106.0,1366.0,0.06459627329192547,0.0021122208973356977,0.005163551624233421,0.078887939453125,100617.98031503071,2.3724003178732738,0.0,0.02320202238342073,0.06574396292368571,0.0076025655619654416
168.191.124.25,150.96.52.209,443,53367,6,1806,16.921611070632935,5695990,3153.925802879291,1500.2071222925117,1290.0,10040.0,1.0,0.009374853778744007,0.03090114602819178,0.21703195571899414,1002691.7186110935,0.06605462972507921,0.0,0.6642932639842551,0.13224603428560144,0.0464715461983053
60.99.153.97,133.244.50.74,58261,443,17,311,16.92769718170166,108315,348.2797427652733,338.1639980684585,153.0,1460.0,0.09003215434083602,0.05460547477968278,0.07232528015418971,0.5750811100006104,8467.925731791534,0.7994504421949387,0.0,0.24436223178022304,0.2757660071055094,0.09596532334588762
126.35.36.158,131.128.50.7,10974,993,6,19,0.4754660129547119,1768,93.05263157894737,90.3428986427824,52.0,433.0,0.0,0.026414778497483995,0.018798656726618793,0.06997799873352051,4360.167447189009,0.2027440071105957,0.0,0.1471773999602069,0.06997799873352051,0.0
172.71.137.213,150.96.144.50,443,55139,17,46,15.5365149974823,3507,76.23913043478261,31.475445766507868,51.0,142.0,0.0,0.34525588883294,1.0550372082358133,4.4084742069244385,1267.831803039934,0.691534698009491,0.0,0.8219588102965801,4.256792068481445,0.1728184761274223
101.145.83.130,131.128.186.180,51245,22,6,49093,16.99941396713257,102924204,2096.5148595522783,832.8386573921355,52.0,5844.0,0.9958853604383517,0.00034627666355276966,0.002180966568363562,0.24758696556091309,6384276.1351384735,2.686919013659159,0.0,0.05164294694111434,0.17557997703552247,0.06574989543072973
150.96.192.112,52.155.51.21,60100,443,6,9374,16.99503993988037,381308,40.67719223383828,3.2844842767015305,40.0,76.0,0.0,0.0018131910743497675,0.0029779900383740386,0.019617080688476562,22436.42727010012,16.99503993988037,0.0,0.0,0.0,0.0
39.22.207.23,150.96.191.217,80,40088,6,582,16.99881100654602,1059740,1820.8591065292096,930.9935390966747,55.0,4420.0,0.8350515463917526,0.029257850269442377,0.05258139331197785,0.25936293601989746,94874.97492038198,0.32852520662195545,0.0,0.3429036087436511,0.17663496913331928,0.027347237045364875
150.96.103.237,23.153.142.120,53186,443,17,156,10.116708993911743,17406,111.57692307692308,83.68845143359421,58.0,457.0,0.0,0.06526909028330156,0.21253019226231495,1.7294948101043701,3622.975537268337,0.8007228771845499,0.0,0.5251086305727297,1.0624743461608888,0.5436267225773347
52.117.216.75,131.128.140.144,3479,54061,17,846,16.98649001121521,156622,185.13238770685578,204.92376248483697,65.0,1248.0,0.03546099290780142,0.020102355042858237,0.018685861546694337,0.40089988708496094,9925.947212473893,2.2541496072496687,0.0,0.07108253021005478,0.20124046007792154,0.10487516772267497
126.224.160.143,150.96.198.114,59402,443,6,4243,16.999218940734863,181636,42.80839028988923,5.7123939850316905,40.0,76.0,0.0,0.0040073594862647015,0.005352236790943856,0.04914593696594238,10684.960876631143,16.999218940734863,0.0,0.0,0.0,0.0
133.228.201.219,170.133.184.161,57659,443,6,1954,16.741623878479004,1888802,966.6335721596724,949.3332486593233,52.0,5662.0,0.33009211873080857,0.008572260050424477,0.02446998215835451,0.4372529983520508,170933.25924684608,0.28333173042688614,0.0,0.3399721611936834,0.14978122083764328,0.08637552777839946
34.34.158.120,150.96.194.52,443,49536,6,83,12.190147876739502,5807,69.96385542168674,40.31157141510363,52.0,194.0,0.0,0.14866033996023784,0.8536742024660148,7.598919153213501,1264.8027543131307,2.2956143617630005,0.0,0.6233655741246356,7.598919153213501,0.0
150.96.53.97,162.20.118.16,62784,443,6,10,7.879101037979126,2866,286.6,431.94332961628197,40.0,1255.0,0.1,0.8754556708865695,1.8041281604550707,5.952112913131714,1487.294330333568,0.963494062423706,0.0,0.7554303630592838,5.952112913131714,0.0
202.185.28.63,52.116.126.13,7406,443,6,8,0.17085599899291992,2795,349.375,779.2331065701713,40.0,2410.0,0.125,0.02440799985613142,0.0487772850565937,0.14339399337768555,101773.27416958135,0.013731002807617188,0.0,0.8392632097185998,0.14339399337768555,0.0
